Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Slovak Republic,SVK,Forest area (% of land area),AG.LND.FRST.ZS,40.05615640599,40.05615640599,..
Slovenia,SVN,Forest area (% of land area),AG.LND.FRST.ZS,61.3711140025029,61.2701922885918,..
Small states,SST,Forest area (% of land area),AG.LND.FRST.ZS,65.6410432372962,65.6083761398332,..
Solomon Islands,SLB,Forest area (% of land area),AG.LND.FRST.ZS,90.1121829224723,90.0861021793498,..
Somalia,SOM,Forest area (% of land area),AG.LND.FRST.ZS,9.40996907578028,9.28762712404757,..
South Africa,ZAF,Forest area (% of land area),AG.LND.FRST.ZS,14.0250847010527,13.9950786833623,..
South Asia,SAS,Forest area (% of land area),AG.LND.FRST.ZS,18.8679886459879,18.9149224757448,..
South Asia (IDA & IBRD),TSA,Forest area (% of land area),AG.LND.FRST.ZS,18.8679886459879,18.9149224757448,..
South Sudan,SSD,Forest area (% of land area),AG.LND.FRST.ZS,11.3256215087114,11.3256215087114,..
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,37.1727521093233,37.1827922798055,..
Sri Lanka,LKA,Forest area (% of land area),AG.LND.FRST.ZS,34.1070158422244,34.0559327513741,..
St. Kitts and Nevis,KNA,Forest area (% of land area),AG.LND.FRST.ZS,42.3076923076923,42.3076923076923,..
St. Lucia,LCA,Forest area (% of land area),AG.LND.FRST.ZS,34.0491803278688,34.0491803278688,..
St. Martin (French part),MAF,Forest area (% of land area),AG.LND.FRST.ZS,24.8,24.8,..
St. Vincent and the Grenadines,VCT,Forest area (% of land area),AG.LND.FRST.ZS,73.1794871794872,73.1794871794872,..
Sub-Saharan Africa,SSF,Forest area (% of land area),AG.LND.FRST.ZS,26.0844102587115,25.9169457949267,..
Sub-Saharan Africa (excluding high income),SSA,Forest area (% of land area),AG.LND.FRST.ZS,26.0835018951701,25.9160342069252,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Forest area (% of land area),AG.LND.FRST.ZS,26.0844102587115,25.9169457949267,..
Sudan,SDN,Forest area (% of land area),AG.LND.FRST.ZS,9.73629014989293,9.64412740899358,..
Suriname,SUR,Forest area (% of land area),AG.LND.FRST.ZS,94.6001457500987,94.5238739770656,..
Sweden,SWE,Forest area (% of land area),AG.LND.FRST.ZS,68.6996660773915,68.6996660773915,..
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,32.2086033202538,32.2956707010417,..
Syrian Arab Republic,SYR,Forest area (% of land area),AG.LND.FRST.ZS,2.84310842454937,2.81931537110257,..
Tajikistan,TJK,Forest area (% of land area),AG.LND.FRST.ZS,3.0607392463434,3.06794437639599,..
Tanzania,TZA,Forest area (% of land area),AG.LND.FRST.ZS,51.1131180853466,50.5836531948521,..
Thailand,THA,Forest area (% of land area),AG.LND.FRST.ZS,38.8283192076572,38.7578539411615,..
Timor-Leste,TLS,Forest area (% of land area),AG.LND.FRST.ZS,61.8493611297915,61.7552118359112,..
Togo,TGO,Forest area (% of land area),AG.LND.FRST.ZS,22.1788931788932,22.1244714101857,..
